column,dtype,null_ratio,unique_count,unique_ratio,dominant_ratio,variance,drop_null,drop_constant,low_variance,almost_constant,candidate_to_drop,drop_reasons
Кто возбудил уголовное дело,str,1.0,1,0.0043,1.0,1.0,True,True,False,True,True,"['Много пропусков', 'Константная колонка', 'Почти всегда одно и то же значение']"
"Список статей УК, по которым возбу",object,1.0,0,0.0,1.0,1.0,True,True,False,True,True,"['Много пропусков', 'Константная колонка', 'Почти всегда одно и то же значение']"
Номер решения,object,1.0,0,0.0,1.0,1.0,True,True,False,True,True,"['Много пропусков', 'Константная колонка', 'Почти всегда одно и то же значение']"
Номер документа ПМ,object,1.0,0,0.0,1.0,1.0,True,True,False,True,True,"['Много пропусков', 'Константная колонка', 'Почти всегда одно и то же значение']"
Дата ПМ,str,1.0,1,0.0043,1.0,1.0,True,True,False,True,True,"['Много пропусков', 'Константная колонка', 'Почти всегда одно и то же значение']"
Т#1 УТ#2,object,1.0,0,0.0,1.0,1.0,True,True,False,True,True,"['Много пропусков', 'Константная колонка', 'Почти всегда одно и то же значение']"
Т#2 УТ#2,object,1.0,0,0.0,1.0,1.0,True,True,False,True,True,"['Много пропусков', 'Константная колонка', 'Почти всегда одно и то же значение']"
А#1 VIN,object,1.0,0,0.0,1.0,1.0,True,True,False,True,True,"['Много пропусков', 'Константная колонка', 'Почти всегда одно и то же значение']"
А#2 VIN,object,1.0,0,0.0,1.0,1.0,True,True,False,True,True,"['Много пропусков', 'Константная колонка', 'Почти всегда одно и то же значение']"
"ДОПК#190
район города",object,1.0,0,0.0,1.0,1.0,True,True,False,True,True,"['Много пропусков', 'Константная колонка', 'Почти всегда одно и то же значение']"
Unnamed: 245,object,1.0,0,0.0,1.0,1.0,True,True,False,True,True,"['Много пропусков', 'Константная колонка', 'Почти всегда одно и то же значение']"
Дата КНМ,str,0.9957,2,0.0086,0.9957,1.0,True,False,False,True,True,"['Много пропусков', 'Почти всегда одно и то же значение']"
П#1 УГ#2,str,0.9957,1,0.0043,0.9957,1.0,True,True,False,True,True,"['Много пропусков', 'Константная колонка', 'Почти всегда одно и то же значение']"
Т#2 ФИО,str,0.9957,1,0.0043,0.9957,1.0,True,True,False,True,True,"['Много пропусков', 'Константная колонка', 'Почти всегда одно и то же значение']"
Т#2 сотрудник ПО,str,0.9957,1,0.0043,0.9957,1.0,True,True,False,True,True,"['Много пропусков', 'Константная колонка', 'Почти всегда одно и то же значение']"
Т#2 дата рождения,str,0.9957,1,0.0043,0.9957,1.0,True,True,False,True,True,"['Много пропусков', 'Константная колонка', 'Почти всегда одно и то же значение']"
Т#2 возраст,float64,0.9957,1,0.0043,0.9957,1.0,True,True,False,True,True,"['Много пропусков', 'Константная колонка', 'Почти всегда одно и то же значение']"
Т#2 пол,str,0.9957,1,0.0043,0.9957,1.0,True,True,False,True,True,"['Много пропусков', 'Константная колонка', 'Почти всегда одно и то же значение']"
Т#2 образование,str,0.9957,1,0.0043,0.9957,1.0,True,True,False,True,True,"['Много пропусков', 'Константная колонка', 'Почти всегда одно и то же значение']"
Т#2 гражданство,str,0.9957,1,0.0043,0.9957,1.0,True,True,False,True,True,"['Много пропусков', 'Константная колонка', 'Почти всегда одно и то же значение']"
Т#2 социальное положение,str,0.9957,1,0.0043,0.9957,1.0,True,True,False,True,True,"['Много пропусков', 'Константная колонка', 'Почти всегда одно и то же значение']"
Т#2 социальный статус семьи,str,0.9957,1,0.0043,0.9957,1.0,True,True,False,True,True,"['Много пропусков', 'Константная колонка', 'Почти всегда одно и то же значение']"
